max_pulls,expected_special_items,si_p(<=1),si_p(<=2),si_p(<=3),si_p(<=6),si_p(<=9),si_p(<=12),si_p(>=1),si_p(>=2),si_p(>=3),si_p(>=6),si_p(>=9),si_p(>=12),p(0)_5c,p(>=1)_5c,p(>=2)_5c,p(>=3)_5c,p(>=4)_5c,p(>=5)_5c,p(>=6)_5c,p(>=7)_5c,p(>=8)_5c,p(<=1)_5c,p(<=2)_5c,p(<=3)_5c,p(<=4)_5c,p(<=5)_5c,p(<=6)_5c,p(<=7)_5c,p(<=8)_5c,p(0)_6c,p(>=1)_6c,p(>=2)_6c,p(>=3)_6c,p(>=4)_6c,p(>=5)_6c,p(>=6)_6c,p(>=7)_6c,p(>=8)_6c,p(<=1)_6c,p(<=2)_6c,p(<=3)_6c,p(<=4)_6c,p(<=5)_6c,p(<=6)_6c,p(<=7)_6c,p(<=8)_6c,p(0)_7c,p(>=1)_7c,p(>=2)_7c,p(>=3)_7c,p(>=4)_7c,p(>=5)_7c,p(>=6)_7c,p(>=7)_7c,p(>=8)_7c,p(<=1)_7c,p(<=2)_7c,p(<=3)_7c,p(<=4)_7c,p(<=5)_7c,p(<=6)_7c,p(<=7)_7c,p(<=8)_7c
2940,0.016339,99.736720,99.954630,99.993710,100.000000,100.000000,100.000000,1.318190,0.263280,0.045370,0.000020,0.000000,0.000000,50.431800,49.568200,6.620700,0.164200,0.000400,0.000000,0.000000,0.000000,0.000000,93.379300,99.835800,99.999600,100.000000,100.000000,100.000000,100.000000,100.000000,81.148800,18.851300,0.492800,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,99.507300,99.999000,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,94.500800,5.499200,0.020200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.979800,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2950,0.016762,99.728820,99.953170,99.993450,100.000000,100.000000,100.000000,1.350830,0.271180,0.046830,0.000040,0.000000,0.000000,49.970500,50.029500,6.801200,0.173600,0.000500,0.000000,0.000000,0.000000,0.000000,93.198800,99.826400,99.999500,100.000000,100.000000,100.000000,100.000000,100.000000,80.868300,19.131600,0.512400,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,99.487500,99.998800,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,94.390400,5.609500,0.021300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.978600,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900
2960,0.017205,99.720520,99.951440,99.993130,100.000000,100.000000,100.000000,1.384720,0.279480,0.048560,0.000040,0.000000,0.000000,49.502900,50.497000,6.989500,0.183300,0.000500,0.000000,0.000000,0.000000,0.000000,93.010400,99.816600,99.999400,99.999900,99.999900,99.999900,99.999900,99.999900,80.584200,19.415800,0.533600,0.001300,0.000000,0.000000,0.000000,0.000000,0.000000,99.466400,99.998700,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,94.279900,5.720100,0.022300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.977700,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2970,0.017649,99.712410,99.949960,99.992800,100.000000,100.000000,100.000000,1.419120,0.287590,0.050040,0.000040,0.000000,0.000000,49.036500,50.963500,7.178400,0.193400,0.000500,0.000000,0.000000,0.000000,0.000000,92.821600,99.806600,99.999500,100.000000,100.000000,100.000000,100.000000,100.000000,80.296500,19.703500,0.555300,0.001400,0.000000,0.000000,0.000000,0.000000,0.000000,99.444700,99.998600,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,94.166900,5.833100,0.023300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.976700,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2980,0.018107,99.703960,99.948250,99.992500,100.000000,100.000000,100.000000,1.454410,0.296040,0.051750,0.000050,0.000000,0.000000,48.568000,51.432000,7.374100,0.203800,0.000600,0.000000,0.000000,0.000000,0.000000,92.625900,99.796200,99.999400,100.000000,100.000000,100.000000,100.000000,100.000000,80.007700,19.992300,0.577200,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,99.422800,99.998500,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,94.052800,5.947100,0.024500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.975400,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900
2990,0.018568,99.695210,99.946550,99.992170,100.000000,100.000000,100.000000,1.489750,0.304790,0.053450,0.000060,0.000000,0.000000,48.102800,51.897100,7.568400,0.215000,0.000600,0.000000,0.000000,0.000000,0.000000,92.431500,99.784900,99.999300,99.999900,99.999900,99.999900,99.999900,99.999900,79.715100,20.284800,0.599900,0.001600,0.000000,0.000000,0.000000,0.000000,0.000000,99.400000,99.998300,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,93.934300,6.065600,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.973900,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900
3000,0.019047,99.685860,99.944790,99.991890,100.000000,100.000000,100.000000,1.526220,0.314140,0.055210,0.000070,0.000000,0.000000,47.635300,52.364700,7.770500,0.226400,0.000800,0.000000,0.000000,0.000000,0.000000,92.229500,99.773600,99.999200,100.000000,100.000000,100.000000,100.000000,100.000000,79.420200,20.579800,0.624900,0.001700,0.000000,0.000000,0.000000,0.000000,0.000000,99.375100,99.998300,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,93.818200,6.181900,0.027400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.972700,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100
3010,0.019543,99.676390,99.942400,99.991600,100.000000,100.000000,100.000000,1.563540,0.323610,0.057600,0.000100,0.000000,0.000000,47.171800,52.828200,7.970800,0.238900,0.000900,0.000000,0.000000,0.000000,0.000000,92.029200,99.761100,99.999100,100.000000,100.000000,100.000000,100.000000,100.000000,79.117100,20.882900,0.649000,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,99.351000,99.998200,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,93.698900,6.301100,0.028600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.971400,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
3020,0.020035,99.667330,99.940580,99.991210,100.000000,100.000000,100.000000,1.601460,0.332670,0.059420,0.000090,0.000000,0.000000,46.707300,53.292600,8.181900,0.252000,0.001000,0.000000,0.000000,0.000000,0.000000,91.818000,99.747900,99.998900,99.999900,99.999900,99.999900,99.999900,99.999900,78.818400,21.181500,0.673700,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,99.326200,99.998100,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,93.579000,6.421000,0.030400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.969600,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
3030,0.020544,99.657690,99.938550,99.990690,100.000000,100.000000,100.000000,1.640120,0.342310,0.061450,0.000120,0.000000,0.000000,46.241500,53.758600,8.389600,0.265700,0.001200,0.000000,0.000000,0.000000,0.000000,91.610500,99.734400,99.998900,100.000100,100.000100,100.000100,100.000100,100.000100,78.513200,21.486800,0.701100,0.001900,0.000000,0.000000,0.000000,0.000000,0.000000,99.298900,99.998100,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,93.454900,6.545100,0.032100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.967900,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
3040,0.021069,99.647900,99.936280,99.990360,100.000000,100.000000,100.000000,1.680150,0.352100,0.063720,0.000130,0.000000,0.000000,45.775900,54.224200,8.604400,0.279300,0.001300,0.000000,0.000000,0.000000,0.000000,91.395700,99.720800,99.998800,100.000100,100.000100,100.000100,100.000100,100.000100,78.207200,21.792900,0.728500,0.002100,0.000000,0.000000,0.000000,0.000000,0.000000,99.271600,99.998000,100.000100,100.000100,100.000100,100.000100,100.000100,100.000100,93.331000,6.669000,0.033500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.966500,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
3050,0.021581,99.638010,99.933980,99.990130,100.000000,100.000000,100.000000,1.718870,0.361990,0.066020,0.000140,0.000000,0.000000,45.314700,54.685300,8.821900,0.293900,0.001300,0.000000,0.000000,0.000000,0.000000,91.178100,99.706100,99.998700,100.000000,100.000000,100.000000,100.000000,100.000000,77.900300,22.099600,0.754700,0.002300,0.000000,0.000000,0.000000,0.000000,0.000000,99.245200,99.997600,99.999900,99.999900,99.999900,99.999900,99.999900,99.999900,93.202700,6.797300,0.035400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.964600,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
3060,0.022134,99.626670,99.931430,99.989720,100.000000,100.000000,100.000000,1.759790,0.373330,0.068570,0.000140,0.000000,0.000000,44.852000,55.148000,9.046100,0.308500,0.001400,0.000000,0.000000,0.000000,0.000000,90.953900,99.691500,99.998600,100.000000,100.000000,100.000000,100.000000,100.000000,77.588300,22.411700,0.783600,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,99.216400,99.997500,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,93.072100,6.927900,0.037300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.962700,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
3070,0.022679,99.615690,99.929310,99.989380,100.000000,100.000000,100.000000,1.800770,0.384310,0.070690,0.000130,0.000000,0.000000,44.393300,55.606700,9.271200,0.323900,0.001500,0.000000,0.000000,0.000000,0.000000,90.728800,99.676100,99.998500,100.000000,100.000000,100.000000,100.000000,100.000000,77.274100,22.725900,0.812000,0.002700,0.000000,0.000000,0.000000,0.000000,0.000000,99.188000,99.997300,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,92.939100,7.060900,0.039100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.960900,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
